participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates
"['d66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '0Dgu1wbfQ3EqEnor7epvr60RfpZFPobNg9vGzfOh-fISZUw7h0QdPm9cKX4ciOG4-Pl17f8y46b7yQ', '6uAI_-J_JYaAhkb3sMdRe4z01pxN-ENBi7rB3jLmK7qcvbrQkmtxm5LW6dgfD90EVcloV_IaxTyS0A', 'ir5yp34lbMYO_kP627SOk90CCNh61w0YaI8UasiXhOULtrg-2umqOXWJ6HMGpfTivxo2G1oJO685Bw', '9KkRBwKOALHrkKbxnUcS8kzcL5nlWx7RIsF2C3uWxgt64Nu63hyybcH1vouby5iQHDeB35U2VJHTog', 'krZOgCWh9_gLilXTlqGarAJGdAq0lUviiMTieEuXt0_DrKk9SXWFDXqDM54SJvWDTvCEPkelS_eFfQ']",0,Twisted Fate,1,5,14,6047,10,9397,15121,0,159,17,7,722,1115,722,True,UTILITY,0,0,1,0,0
"['lPH7hgBP0tf_i0ut8KcVBRcB55vADrptwIf9jDiK5noh-t0q3g2r0Q0KeweYrmjb06dm2IcZMCRBBQ', '92M4UMMi5BDmb6uCMFQKzrepODc9pbXX_4xqLrg8zCtbbN-cbehJITouLbjhE5oXYk5NiiNjbsJSSw', 'fon9BA6oVQ4WeKOpnuI1vt3e4WwCZdMfMH0vChA8P894ws5YRnJSXD2NUKoV6F-O4JIYNuA9jZDYmA', 'uYt78GrmO9mWPxXGGNRRSVXNC0-ItMCF3H-hYDpuDq7XM_hJgObWMVn0jaXT6-G7QPz31aIotJO-kQ', 'Ul2Nqs37mQAlqMIL8J7Vho4yxhwq57S_ynOpRRoURdyPmIEklP0pOpgoba-ih5VR7YE07IZ-Ovi5yw', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '-qcVfkj8M4tsiLxecUkLkTk8OtK7OBZwvihx3LOKlFuJY0svnxxBSyZiYVVCkwL4hwWl1CJuSOFA7w', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",0,Twisted Fate,4,9,19,9245,24,15015,23112,0,170,16,7,1092,5586,1092,False,UTILITY,0,2,1,0,0
"['Dki_ODK5HJ2I5Hi-IY9D6ciZM994MnoEIiy1-l5tB9l8WdMsDTHnbDj5aJL1YTNT__wkApS3_a7nqg', 'mO2eOb0hkdgGkmgPXAR13-QPcBCR9ujHX2RQEa8AyTcz47l1GuUBL-FpJTUsgL9P4obH6Rlv2B9Zfg', '3Q4H6MC33veuLKsA12iDw98FkblkFWdkppJ7OuWI7d6WpPoFRtaABvyWOl0c1JBffUo2KwCIRIkYQg', 'qqAaPGB3gIJVU6mgh-Iaiv9Jp-62PzNVX6RjAeYUPtO4Ovujb4Fw6KGp5bePADSWNG_WUd49ZM2Unw', 'DaEqv26mhyzt9EM9nkPUKh34cC79Lheh6Xs9q_TLHkHscB4K5NCz5Lp40z5QNO5XKhMp4Iz6ObuEQw', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'Jzd-IaxLwnQ9m9d3n-MKKQ8tRu7P0VZMh8I3KcFmibtLxRqngNbEU3zAn6UCEyyok4FsEk4_TFeRmw', 'xPoEsbbkA3FnbDGfKSOlleLwqQrZVvb1QyiAKBTNDRdBvXBIiFixzo8D6dXyIGV_8mMOSDXF60v8Jw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",0,Poppy,4,8,10,8287,8,14816,18804,0,165,39,15,2288,2474,2288,True,UTILITY,0,0,1,0,0
"['BEWmOX1eM-jtC-Fl0YMDFZaTrcZfO906fsH_9l6J0f0dNOpXYUcsudnwJm4990lGL4nPajUdPlJIgg', 'GQRn8sJsS3CjAch8JCFaq6DPzWj_k_CC64SpRlTgUJt0ErWMUxr9Xqih0JYi7VfglTitnAE0e3J9AA', 'ksuunHvEFc9TVS3UQlnq_fPKVNlQj6DHU4G-kWTbdjxXYl54c0HZiX1KC1RhKb5Ob6tJGDiCX_6zEA', '4Hb6qOcwai-oTjmIHoAw4qGusHWLpguM3Uw0_rgCtcejDg5_3NjNVqPr4juSDpQMxp5EodHLHiQJOg', 'tK4qCf5jWbpI9-tc3nnYKvvsaCxik5dOTHeelJ2nvby1WzJEXNcID1FsfXOtZrwv5gOnmPqhC8FjtA', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', '3cAIrvUIu8iLlcvIgBHs6FUu7ztWjUxYRFsh86KkKfFufPoafxxyajwuxvXY8WcaitYhVX6M0nZB-w']",1,Ivern,1,10,16,12613,6,14397,30411,9564,230,18,7,3140,32509,3140,False,JUNGLE,1,0,1,9564,5917
"['v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'cFjcEa_npMqfBr9l7b7VxFiKdRJ-nRee3UX6rV9H1tkkq2Ay6tn7G7RzQpc2oDAgRitsK0P3SpU3Kg', 'vVTAk4OM3GvGSc-_6eH_T6PjYt64X_HcRXD5hFIwfeUaYMj1b2_LjQ4pNWhD1FqctmPzDRtvEO2plg', 'YKZoelza2Awm2POy4ABSsHUYJGsZvyamjQdyYKPslE0HNp-wZLaEW9_ZiLeSJG3_-vTDQwonZ5X5Zw', 'IAAAb4qjADQ3ak5lv5wcF8taOU9J_U-Jeo4_nn7Y-h1UX4MMePzXIfmEPwLhvc8GGwWXZmIsFl5hHA', 'GDtH4Ec6cLLxT0I_oTca19vJzXju0w6oApl76jhEvFy7GrdZOzXSWUtokTXjAj_WRhm4I5ydHSadLg']",0,Ashe,3,7,2,10801,216,10956,19201,0,666,11,5,0,0,0,True,BOTTOM,0,2,1,0,0
"['w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'kVDv-4E4Btag-1u7UPNVfUn3T8UBLw2TlSww_IfAJSYet5DcJ9E1Y6VxmKea0FUlIXYlm4X7sSPKHw', 'djVy2Qff0UQUp-_Gcm-BTlp3dTnyyqtzsFPlzqMfEjs4CPidCKJ6lG-ad-OMnSRZwO1uK0gqRaLPGg', 'MnJQ5T5v8XmOeWGo6380GxcNFs_ooWPzgvN5KjrSPQGTR1odBC2PsHEdfGO9z_Ast8vs18d2tSSXnA', 'MCqerssexx-T_ExVdevPNEVShjOCx_BtZcjyrjVU2MD2kqxB2GtTkKAuAwQ3kUMrrGfN_F08uGtelA', '_cS39RfUcqF1AfXdLvW15tAdUS-eKG2QYulfyYAW_3ruW_zRgNG42tWq5hqHKwOQIKFsTM3vYfdoGQ']",0,Gragas,2,10,8,Glacial Augment,28,12300,32734,0,295,13,5,0,7855,0,False,JUNGLE,0,2,1,0,0
"['V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'KshJRSCfofGju-S3dDXX8dlx90XMj4iCBswfISgDIr1s09N8RBfsXz4tb6uIoE5wRSAgTzfC-x0_qg', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'McTEPTtZue34u_nVLrUPvVRepfWO3qgROkNQoF7KkjmoWAtr8rwwncphmSFQ_LYBdxeGxa46RvKRVw', 'sWR5XKK4pYQ2K64v0B4nHRkw3c310KACQSrRVneC4qFSZ8y6Up1sHULjSiLIweqZQFTNj0UEKdk_uA', 'Hpm60pj380exKSmvlJuRNjuE-T8oDljzgqgoB2CzDXcHPukNN8-9R9_ifPtue7ixaH5-l90k1YZ7aw', '_PKziQ4e1uMnc9m_25Wy4UYToWOOhtyphlhkW0hhEjmgZhcfTeGQhMVUP-vzk9-zya31LBZeReAFXw', 'Y7iwIRQ4JKMUGunHZ2SC6-63jlEbwtylY3fRRkYtU1lcP9r6qx-YPdNOgCGoPJwqyncllBywDUfACg']",0,Jax,0,6,4,Cash Back,175,6939,20892,0,65,14,7,0,852,0,True,TOP,0,0,0,0,0
"['6j4_7s4rN4IThsT2pa4sgnviYG-kE2TsWm5XOsoYEMMjyF1KRZ4aHI-k2kdpC0RGOApIrPizmNeGfg', 'Yt0YeBdSLzm5J0GiLeLCz2nSzgD9pJnLCwq4wWw-KxB6w5a3N_Zg42-8W8Sr6YwpkzN9CijwolfBZQ', 'oeRrQec0rcC7LqSpcyvtgZTYhEkcDabgkYl8v0ET2ONxBsGJtkOUTz_XadLPMS1kqM5Zo4WtMmQ0sQ', '5k_2cnNW-9EwagxJf0qBwnuCbGwX7MQl74Pu2ea0L8K0cWrPEMcbGTnecVEZnkMtVeQb2udDFJCLow', 'NoDG9ii2iQvbfCuBbo1-82pMQb52pIDTcWON5oz2aiDBJJUz-6Sdr-v-Q50PuTkH2GMgk0nondsWlQ', '7CKBN69b23h8oNhnZ_Q81daYeS0nPYj5aNo8lekjqnJ9WppSB9Z0gmZHGfr65-26KlKVn_gaZKGhcw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'd66zRs2wr3In3cbz_fPo1cbUt99SyQNUr78FGsGcm_BmaZNY9puvPrt_j6b7zXv5pXNg4qoBETm5aQ', 'w9MPFQzlXX2JRTUwWvByGmnorl-kgmNjY8BfMQ4Lppfg-t-6Tkd1JAO2YKZy4VOCwC5SdvcgMIsJPQ', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw']",1,Graves,15,16,10,23575,64,45724,66027,0,671,32,13,3145,56864,3145,False,JUNGLE,1,5,4,0,0
"['65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', 'IeMxp4-LTipLuN6m84E_n4Nv7QdhsrxzthkiMM9OqOzqIUqDgu9cKvZKkmaSrrkypFlse8zC2_DpJg', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'MLH0vQR-yaOo3ynu3JCUuoa8106rIB65D2Gmj972_TVn76FxI60iuET7xxXlXXe-i_pcp9pjBE00og', 'xz3jwM7ZKiNH-FphsTPookS5GPkUHh7-bVeUm53c0et2kLrki4dCc-28uGDh_dITT4d_bQbdNrCoJg', 'tql89KOrkPWhWGWT8MVMO0rR8ZmhueZ9ivowg77FEce0Fg2S7cZlup-1sl-TXpQhOjQaOUE0-7GrOw', 'KE6PxVgKqSnQ2mt5HbRFjG9GxqQm_ebv-pEOmbzcggtjpzCqL1oPsnT0-CZfHL6apwlslE7cnXQ1sQ', 'zNEG_JozpLq0bu0dwvkuqQ3srXZ6p2TaJDOumuZaJIl3mG8_WpGJw-9cLEDv9ZPKG-zk-5AU3D6ubg']",0,Sett,2,8,10,Sorcery,30,9077,25089,0,100,43,13,1100,Nimbus Cloak,1100,False,UTILITY,0,2,1,0,0
"['65b4YhzrAnliRUdeOfuFBYyFEd3QvgnTAhuxTOj4Ocw9iMHI0Q9dvH09Pt_K_U1QJ0vzaKl53HXUpw', '_cvWfj7t2o3RVizo5oF-K2OAh-hWQdqHmffy6c0qtKQI3g4QCWJk9jJNlljqDTsvDptKe7MaL5IuEw', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '3b-gF1ta-H4qizC_kOT0tDpah4_rZLfRWXOhJOUm1GDeG6G5JPFAIgqqppNQA1lJC1gRvrDS9Vo8rw', '72kLjaU1uXuQNBEZ_NaeJnAiI69VGUYmdu-3-a5knuV4FcTGgaP4n0znKbYA43FQAd0PP7UvFMYLzQ', 'baYON2VuncY6V-wExgxPh0sIvaMyDk9B7IQgrTWy_1y8_vFWD9vSMNHf82Eh38PWvy1grCG4DXXoUA', '9i1nSIebeBrdtfyLat8LNOeFh6edD9_3AWgkWZ8594-_ihxBZ9TXkGcC-EiCXSF3xNN6cQ5eNFhC-Q', 'ObnN_ajr9d-9ZTWSfKYAgmoFrPpC29NsuDM8xmR6f66zK1luLQtQUpvQwpoiKp9SiA0rTRNLcrODuA']",0,Sett,2,9,8,9059,29,9911,30546,0,38,35,13,2511,8089,2511,True,UTILITY,0,0,1,0,0
"['BMs-7Uhoyzz3UYlhjVB4X-K4y2qMjDch_yWi30LKf2uqHq89VBWRKdmGXvZKlfOV-CCDXp0rj4V3og', 'V16UF8FFGdKRfmJE2imrFzPiE8dfqTJW56MrirNtpN-xomgFvJZAjR66slJpdJYkLaaag7IXaH9RWA', 'CuWFgSTPlAsJX6UU7u5jvs2lBHlhS69YR8nldulyOL-1ri3mi5MJiIxZcqfhYYOwXSkn20fFGH3rfw', 'NLVqLk2zl-UGilHhEASoIrvCywzzaFLlDmM35gkiI4o8Lv1GmApulmYVcnmVhjWAkZfotw-jR7JgCQ', 'p8iPa6ANjR5DYVukjD6Skqsf-QOyMKXOfubKkTZZbBNw7NBbt1D-aR5vOoFGiGVmz96tMeFYppUnzw', 'g-pGrtst5Xu5dlxb30CQEQiudj-ohHInGlLFDRmSsjZPgGq7CyhHqVn2jlnO84Nk2Ffb3lUishoDYg', 'xNMX_zFrVzrZfrTpRDxe70eaDTW_i9uOK1NC2oBcTPUx7Ba6dveArLOV2pvWQuFhcBTEPmON5CV82g', 'I-VJHqBqAqnexCQfM7Twv2cM8VktxeBsp5OuXCVPtlY7ClYRWru7mk5C-tjKr1isXFn8mvaSew9i_A', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g']",0,Poppy,2,10,14,8052,16,12026,25758,0,157,64,34,0,0,0,False,UTILITY,0,0,1,0,0
"['gNDFwT32go0jvzzQxPdOCo_IYXJN3EM7GFhqw0LPOiTmPcm_xGyp05DwCB7CepEVkkVp8b4qcshfuw', '7oZiZqrJSczdFHMqgKgNATbggvwbW3QIUHsOqPOUKfq0oFuyRGPzuxJ7cfEG9EOomqSElMz0ENFy1A', 'cEvdNkiAJrnPQZ4Vi8Bj7o0PPBah_TXcWLoAC271xCRVG9WbGkeHDsxPkrz2fGYGyhl9EX49DaKZpg', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'BesrsYZ_Q1UX7eRHyfVK_RGgVeIJvjh_Jl0YPR-8Xo9km0J8gRpgKgS3QYPo6zBpCaPjtCTpxQMVkw', '6ArqVVF_XwDCtp3seWYoRjfLpyZwJXKqNDFU_s_a37zVjXAX96sJx9Fae91bHrhdy1U_eabGGq5bpA', 'yuvoBdVHzURfpCorfEpzxDZdy8KDdvHOwGhFjeVDzfA_lce98dJGWSG1z0CgtKqcoFTBqK5J1jJZGw', 'B1-hoQ6x-XzD5_BkdXVXB0QusUsgcwQwjKXQqYbUp26D42kJ387lN6bfnRlZ7iOy4n77oMJlEMM11A', 'Ja26nLX41fv-WzyuesHO5qcrmSbb7_DWKyjhzvyyyJ5ECKsH9t5QkULjgPvwlLt58wMBb37bGcwiWQ']",0,Taric,1,2,5,5979,27,4944,15932,2270,141,22,14,0,0,0,True,UTILITY,0,0,1,2270,1810
"['O6MenDph66eUUMXZe1gkmylEdwEyrVfKKUi2jiOI8sbwT-goBhy-AbLmNKcAMd3caNGndVyRYQCKKg', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '7eu0uVJ6yplCCchce_vB8YyOtD_huOXHc0yfQE1PlANk5ctQZPlYx_6wBU3zKblMOHj-PZujn8w3gA', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'sGSNWw_FRraK2vrsm4CVKZqxO-9fuCp8y5yc_P7Jf7xxz_IEkUcP8AM8V2I2aIjy_E4GaKd0GK9rIA', 'SELLZMa1gUTiJYI2FBpGEYbh3picP1ZKo7e9SX2qHFCAbby3fO8WDY6FC6kRYfVQDpJZu_kf1B6lKg', 'Ev_5tgSEmq-RXerlQpptKTdsdBYDrvDkDJhCwh3GiUuVWGx30b6aFA9kTFh59PNC5qTf76VKroVH-A', '-GWAGgVYa4fsfm7dKYGuLv7QzUfqJuIfxNhq-OOyl_Warh_e6boALZjDrs0EO_7qxF7fLKR6NyNEGQ', 'OBUlTS1OFkI3QESrCDK-9CJACPzuTIRM78ql4m4JbqShHsIbuyHQoESt04YL3LLgMNCraQyyKzvuVA']",1,Sylas,7,7,11,11895,16,16742,46258,0,348,10,2,1091,11784,1091,False,JUNGLE,1,3,2,0,0
"['v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', '7eu0uVJ6yplCCchce_vB8YyOtD_huOXHc0yfQE1PlANk5ctQZPlYx_6wBU3zKblMOHj-PZujn8w3gA', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'qiPZffDAs_MnC754dj2CyTMEsBaV2DGYMUpajDpsA2SFp0fkfG8Qbq4URVAulIg7oi1-OPJkG8K9gg', 'U408ajS5CbZYuYn_oqtLYSag_3u0fDP2OTbvSdFH07omVDAzluIqzMu9HeDV6yLwDXR0YoS89v96qw', 'IiPNHi29sfokqakzy_yMM_XhWSX7EcBbtwgkr2CloM-D-5lnn6XwNbFcK750y3sif_eB2cSRIYlnDg', 'Xqs4jhX-9V8f3NHS8drwosW-C-U6lnyI2_yWnOnZUiU9GzI7RwaU5z-OglDUtTw6yzSZpWT8wwS7Sw', 'UHswDXfdswbKTs97xXVeA7Bp1liXYQ5WVyfMt06ClyGA9K1yolewEisox8BJpVsjygynYjnhaMLnpw', 'Sdacz7Mp8grXNprTrZLZL_hY1hzd4t-g8HvoKwAju7aI42P1gmiGxEDxSPsT3tNRQkEgvv3eiAlRmA']",0,Ivern,2,2,4,7592,13,3839,6225,2585,146,19,7,0,2974,0,True,JUNGLE,0,2,1,2585,1276
"['uRUWQFjiakDpTrYK9UnCfTbZjHe5ZOHBN1NYKqWV0IzyqRoiQDMr1HhB16M9ipxsy7kj1Q_6BfXVUQ', '_ODD3TN31In8ZuKATriJbJh8Zee-zdYweRXSqbuP0Fgt3mLfPK-b29EsWIEqkvve2NQPuJgPBUUA5Q', 'CmN98Uie7BGQc3WyUcI4_I1OrQyCPsYOXFlv-kGUFz-nxcX0Cet7VzGvAmNAKuusMdt1mv8vKBcDRA', 'gFovKtXp0mgSmzBMaJQVEmJ8_I9j7ISN2O7ckydJewmtacjIM2vRRQaGd-L2X63GiJxswosxLmcLGg', 'pq8o683h0qA_GVQAvtU5pSt5kAXVpJwYD6ckkHJV_x8nsjWv_OgsDw3aQfVy5GOowikjnE2OMLSgYQ', 'qrl9a7PPd2SakhRHb45A5ygVw27Zqzz_pMfLLDQq9wTrzFNt5w9LIvv-y4jWw7bhkilWKYwBD-oGmQ', 'V8lkRF0RP5WLyEAM7kf0F4RJanDfdGveBZESxJBZPxaRoDgxwUtdIeVTZrmOzjeVHklBRlCJr1tz1g', 'v9cKAiyHdtPQ4HXfm7RKoUiH4Qme9tpon2h-j6977gySZVShcbpHA_rqcGRtvR_jdIltku3KSZRBYw', 'LOSW_2HtLudq3IO26xWlzSEQr_YBdH2fIsP0u3fhXG49qecrSx-uYSv_vq59IbyHv_GZ06O7RZBfaA', 'zKuQ8gSC1pDE1gxkekjC_1I3YDQlBwwHbHQFVuQcXspfUBULyreKjbRaTIPc7XuzeUrSAmmTuEPxPQ']",1,Ivern,2,6,15,12919,12,15965,19497,9081,279,31,12,581,10668,581,False,JUNGLE,1,0,1,9081,5731
