participants,win,champion,kills,deaths,assists,gold_earned,total_minions_killed,total_damage_dealt_champions,total_damage_taken,total_damage_shielded_teammates,total_time_crowd_controlled,vision_score,wards_placed,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,game_ended_in_surrender,individual_position,inhibitor_takedowns,largest_killing_spree,largest_multi_kill,total_damage_shielded_on_teammates,total_heals_on_teammates,loadTime
"['vxe0QZndmA207TDKvRkMI_7DjxP5PlGgyHbQDFVtdVimBC3zt652ZrbwzBDLJ98sNG_EYFBqnhhOeg', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'S5xhqKDxqitAr49ZrwKl9MwA3oPkkXHNMT-Gjz3Qbk-liD96uuANmMBP6wqknxbp1n-OZdRZBVDkJA', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'mSP6ImmjeK-U_Q6c4D4iIwgff9ukD-gqdt_3Xsz6frcm97mIL19-y9fsXK2q2nIqLCdYsVpNIjIBXA', 'j6E3EBXnhsIK-w_ykyUsHJB1lnCc0lczofwYHapJMhYitxb2C7MHROFme4dXwot5cBp1cb8qaUeXdw', '0eNs4RmWY1-cG3kmNXRiuXDOQeksTCuSSZVBUWr3bkDyqYK2kMvqN7cqXRNbPUfqcdnDhqkM-OpIsg', 'mEfCO2y4MWjmMuCX40jv2XExhINIM2DYVbRfRPE3aOYRxFakvUKCs23QS6opoTGevSJTUdF3-5XWbw', 'lmyTvEEdqP_2eTz9CSUDGLvmo0Jwga83Of9-ZkI16vSQE78lFuCx4tHOkxPYLRqNPYWDVZlKI1IJdw']",0,Jinx,10,8,3,15001,251,34016,27504,0,111,18,8,7267,16519,7267,False,BOTTOM,1,4,2,0,0,209.857
"['LRjbjdFbp7QBbeVW6HE3JLU3kVsI8S_JP_Z5UH7Z_X8yfN2L5jiRzh42BEzhrslVDDn7A31tOPxG4w', '_e8A8bjJkgt-YqQqRSNEOEW7qhE5x3LnHyAho90WbhssTVONX1S6SJuZeuhAyQ-nrmB_KYkfWVHrZg', 'KNpgPJiyey1dOr6uXfofPjwy76UnVMFrhccXVMB6IHomaIHkuYK0mZYMvOnz1HNm04VLC5YHaMQ7ow', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g', 'hIN2w_zV_1pkXJaoj9jdYeFRUKkSbKDVNsjK5R2LDawr2PzWAt-5ug44KRlNMxPyHFIJbshA0NhRYA', 'y88PuR1B-QMigNoNaue5-vdWasJoLKtAq3fauO1JDg-hOj8OK_7SQZJbsgE2oOLkxrNfhZKRAsb6Iw', 'Kj6QevRjDxhO9dk_Y0eAn8_or8Gnqqv8AL0V4Is46MwCNO4VvEvY9jSu6RBzjFUJ_Id8oRX1nLTL1A', 'cq2FoC4oleNosRs-VYPVPOqAQ8YRe6cD3FybgrTVA375DgDAcCsMQgrco6qShhCplY3dS2yAxFy0xQ', 'xn_df1RvJlfJW0fFqhbMsoH434nnrvNod7Tag2frDf5kWv4Sp0mo0iEgVwr5vHV3va1mszXcPu6i5w']",1,Jhin,10,2,6,12415,206,17898,12660,0,75,12,6,5486,5486,5486,True,BOTTOM,1,6,3,0,0,32.668
"['tggfLcGbVAsjgt_VHByJ68Tx1AqbTA-5vrpsOzVP2ngHTaYPzFHecQxJYaOB_bZ5mO4ORbryCIGUQQ', '3ExrnEfd7bJGxofHni0YR8hN7cLGqv67TJAcqqGmrmeIdIx9Qw5To3BmrD_WmD9R488OYRpejMZ77Q', 'YTPomFiAe8GLtme-5MNv39mFby8Gyv32ji13v150pLAg6WnMt1hz0ZTgUkmSHfpEz5W5bO56zBhY0g', '2Ycdl0vFp530hVy_P7bVemQQHvNUpefzYGBGuS6ytyGdAbSxGysNSFgZDhXAR_hc_Abt_DvHZl2hWg', 'STxNPE9_hwY7ffES-WgrY7xjyYntAyogxPmJoOYPH1wLsn9m-B73DhDT_zCDdRMihseL5An9BDqyjA', 'LRjbjdFbp7QBbeVW6HE3JLU3kVsI8S_JP_Z5UH7Z_X8yfN2L5jiRzh42BEzhrslVDDn7A31tOPxG4w', '_e8A8bjJkgt-YqQqRSNEOEW7qhE5x3LnHyAho90WbhssTVONX1S6SJuZeuhAyQ-nrmB_KYkfWVHrZg', 'KNpgPJiyey1dOr6uXfofPjwy76UnVMFrhccXVMB6IHomaIHkuYK0mZYMvOnz1HNm04VLC5YHaMQ7ow', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'QYo8akjAYgoxGg9f_09Ky0gtGFYLSU1CSlfFKCp2_jjv3vCogyiPLqWaaPvI4aDC8VsFObw4AwND3g']",0,Jinx,0,5,0,6448,151,9113,14804,0,34,8,5,871,2760,871,True,BOTTOM,0,0,0,0,0,80.417
"['8erkkVyPpTkYRs0TMr5kiq1A6SWsvqQ2s7d-qUGon7LmbrxGSMzewK0f2Ffx0FvgFwecsZzIUcp7bw', 'YosfuDQi8Enu09FcRc0sy-89x1XxH6EcUFiNlB9uoCVSd_aQokAt6ba13QsO2AUDjtcTGfMMR0x89g', '1oPLvTeGgX4lgoqr8iSyv5IeC6TMcFC9N9yOxvhwzAdA1kgJoIpfYzM1WKnnCvqNu29F-kAS0LYekg', 'CWPErR8xB1yGH-vuJwWYw5buDaIC4-3mr1KwUkjs1-rmXRsmJfmSYhE514Ih2jexV8_M36qPTvvNmA', 'xGYuAHF1fHfWQAiWyeW7q5ZUH8Q1U0Fcy3nnVQ_SQpT1bdtJcaJZXrr4G9AFihABMmBBSYRCDv9Mlw', 'lT25GSvaEKjw_1EZzqWuptRY7A8KuLHpAqtKlv98FxlK8VZ3tntaBbVYThSsFhooXAiSnye3wWPXzg', 'Iovk8r7qvu_0vky1Zj830Jd2P21qGrK2gD-V5BdKmfRr1MYjl7A8w3325jPrOimnb3sfKyw0dKTDoQ', 'BtRXQMvnalOqtQc5HJU6AHsoRbCudCM6dw0TBE8FYQ1oDRd0o7kA0RCdbhSE9iGZoI09WONigKG0Cw', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'NE3bucp3oW3sM027EmAI32IPxn08dNO-ZO61qrTug-oDHXAQ0EuQIoXhfE2MuZwSclFaRBxFkNrnZg']",1,Jinx,13,6,13,14482,162,31454,18341,0,99,20,7,10611,18814,10611,False,BOTTOM,1,6,2,0,0,27.506
"['IN0SHET3uzQYSQ198qUr_CSyZGnIFbZmzWD3U0TKKCsgdLq4yejsZeND3zBcMvpqck0wZdvwCBrUtA', 'BDgJlpWQH0DyiUmf11Oso8Gl81cMBGVEvVqVBnCKP5Sr_u09qfHwNH8Evo-70lS3VR30R6JCTvB9GA', '_kp28sybRfD6H0t3nbbERrxRULNoEdLW1lexX2eeYQLN5kYtC6gAfuu5tVViOQAvBa-EPJBRfwfjyQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'ai42Wx43_Iz5uT9OPlffgABatz0dUcNvCfzrwXnZSdHkn5lupVxtNGdHrju5JpjOp7sZXoi9W0AneQ', 'rgMTS8nfZNHDJWrF6qK75d3ghjiromqs3zRq1UDHMvvsLSmsAAd6YMu37QT56-kp9ucyvx3YJQCn6A', '6T8KYT9jzO7cQorhi1Hs2DxkGqMX4rLwah9eGqAoeKj3c-J2knVcOiQOJme-EjLuo5shf-bDFmkCnw', 'HD8iqusb7m8FgR7JdgC9t6a5kFrf_cdTbIeD8Tzm3YANI9nvVLYZLtCBF-xISxQ68B-I5G7yCivvGA', 'RLY9nyBtBGxewachqg37Gt6UEaF8I4BdhuoTtskzbuZU_vkJB-Q_Fsod8UCfOYF-uZvRfsjLBccGWg', '5DdPx1ApCOobwzBVPWW60p-jqI6k0upPmAklP80fcMs2MfzPO7fqgv4QSRlhGwjB-Ga0WsdjlgkXig']",1,Jinx,6,1,6,11537,180,15510,11019,0,56,9,6,11709,11709,11709,False,BOTTOM,1,4,2,0,0,79.831
"['WjpZplGcgIpacFe-RSiZQDN3-jdz7SwDFtfRPt-qJmvTWv6TcRzNWY4gDGmZtO_r65ZGfmirWYrrOA', 'gJ6PVq9pOwxOwCH59gegScRIRTeDqHxX3N66J0zSzm4ByL7NkjORyKrJn0Mm3cooS5PmgtKK9Zduug', 'mRsjqqI8-dLgIGn9DC3vsZg3kxcNwLxQbd_3kbKGuzzQt6NGUs1hPlQkSsIaNfemwtCSn1m1rQAjZA', 'bhlnF5y9dqFki9XHN-SGqrUTqqUFrz61bXMRf6QbkgNrBzYxVnPPnBJ8xOj0YcKBKPXagHzppnT-tQ', 's2owannjB08YvZm5or0MqhBa_hiKjCr_gLJM88Q6vK-tTWUwggUzhZzrecMq3DeelMhtPXbQeZS7tA', 'q63B3g3XO_oUFB1Za3O_0VFlGPPIlyIH0bkbUAPZZEr8XH8I-iYW4PotbL5B87blE8bTFCnJcMfKtw', 'FXnCwznbYwEjVXSZaf66hGlq0D1G1w_bJpyWCCB-6VpK7S8cKN2NFNFaoAHyuGfeGRFX6EuGnX0Fuw', '_kp28sybRfD6H0t3nbbERrxRULNoEdLW1lexX2eeYQLN5kYtC6gAfuu5tVViOQAvBa-EPJBRfwfjyQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'S9nY_c3rbcUwGwA1YnsHuGQjYaGT9QTYgGlP8M8-SJD1Gj9pBRnpYAvtnpuFkGvgP-S3woZnRIcZAA']",0,Jinx,7,9,8,17581,353,41700,28548,0,113,15,10,5700,5700,5700,False,BOTTOM,0,3,1,0,0,22.877
"['tJMdaaJz2lqGNOdeT4SZ-QTvQ6Rl5ZDKw2jlY3gNwdnA7KMUND8Z-ZMrd6-tCF0TEX7i6KZILKfcAQ', 'DZEViMd1oep68KExQE-efAZSS3Sf4UQgNiVrmi3epaRZPRhaF9nc484juL1GbZ50LloRQMnxI0OkbQ', 'iGsl95VOwbZKSeYCtA7TfyffvHMbiWHbN9KwiSW-yTNBYfPACSPnpnfVGuUJTIAQCB_cKlq8O5llQg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'KVBSqpywcXRbq2n2PfsQ3ZzLVYHDl22vHEQyXp21-W2te1UV7a-2fLVsHOvFM6PBFmQqqfMJEAFYhg', 'uNaHOD_r-7Yq7-xLvshralWvGjh1vj7rI3PrErnihsr46OK0HoEazPSs9psRWhuff62X2dcAQ1WlGQ', 'e_8GHBYVxfkGmZIp6jyDzgbroGDf31VwhM6q5PZgZ-8y1gvrPdefxgly3F89LByF7Dz0NncUeepR8w', '_UiLqnLG3HYO1Sitz1G3qRtyZuEaMIOZ08iPSqNwfclyMooVZwydFpIQMeR65znhg8xtLCfNYlhDnw', '2F3QC7GAYN9V1bd0dsXBRSrOhaZZMB2le3AXuGpGfN1k5XceuBg1GlE4KG6RbJUG3muPSqTWqmi_uw', 'KJZsexq7z35Qx2To2QbDaFaPOwixnhP3xiGsM-ld2rmuKCcWChGzl7KBXpSiRJkG6uj0yIzz9LoAgA']",0,Jinx,6,7,8,9864,172,16810,16498,0,97,9,6,170,1328,170,False,BOTTOM,0,3,2,0,0,20.85
"['E5JkiQOEaQVXns81eLIZJ7ucnljF7GPNkyC7gRnkdXsFqieUNp-9OWPZh7bU5PU6yWuGeNKrsjaoEw', '8k6krkfxi3M0aUTqhnudiMJGGmfR0m9kqNYDjBni3cOed49gvGd-wi1dzAosspUl5pTxUkvjXCv3Og', 'vaqmZSxjVsQ5bNvCFQJ3erJN3_Set9aIIMrc-hDNN8AxzeVHeT5Je2aeWeKAEfsaDPbiyLXizXMxOA', '3qEYT6yEWvklB8jANWIn7TiOgl4ILbgAn17Qv7C3HNpaB5ciPB0LWb7kUcBniv9RALyKRdmKNk4S-A', 'JlLPp2Ae5c4p3gUdqOqnt1LxrDHRx2iVlwXrcI9okcWJaLvo5am0mGB79AfuROdYNgLoFboV1W8ipQ', '25gEXNejzymhMfYvXey3I7_OBkrOdXnew1l4WMHlIuzx8wwimn6QzaDL2Q7kLJdSqWWZAU-NZZyHVg', 'NmY6PEihWI-oh3lxL_aZSntMelMRQVTaAvuWL-2LWUykuJU3K5vjIg4P_SQNRapZc4UEDhR31z35OA', 'QUAAFSFAFls-FO4wi33a35sTUhOEamkB9aBXgTal9hK_NrSbSFydJQZ77Ppg0t37uxUsKzbe1ZXMjQ', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'DDKS2cqDhU1wZ9e-3rs8DqN9h1NksUrRn4t5LPH4-oAFlv77uWnTqjMdS8SwzcUSiRL5Jad8Ttcz1A']",1,Jinx,15,8,17,21436,278,40454,31437,0,120,22,13,6870,31787,6870,False,BOTTOM,2,8,3,0,0,37.56
"['hrCsTtdm7lqHjrFDFXdmCR8LtP8gKGEvk6lHIDz28CY74etzeOfYxWGvnTeAZZCG8xB16Zev_86jug', '6kZXUCTt9jJhcUBuZJ4teRZHTcK1sarbDo93V1QkIrtTccxy9KMGSwZ2XqPlAvPVBAGhfAYw4TKqsA', '2rKa4qARwMYzjotgqdsMogxTSKMwjUrMu3pHAvhvtIVImPKQ0K4xZpYExpEKdGC7og7W3K_Dp857gA', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'aKdoKbbS7O1NNkVs6ci_W7eIgpS08XEGgAlutWhYYMEr39kh9ldvpRzzf1DT3-fCrRVmmrJAAMafGA', 'o0cYJc4pGSB9K-pJhH0MIeRRlgcbX0w1t3G9KSQYGzuU-A7bVPkgVxlEIHNstFhCXtEEKoMhLHDFmQ', 'f4tv09YfqLTAjIjW5bby95CSjXwR_jsPS4EaMXSSKnjjancdbgPahe1oMg_xzlJxjiQeP8j00RqJgA', 'dy4locUmlZG0_0418dq9i5CiM58cdE3p1EiVjmIw7pML_w6iAL9Pxx1kCsqrJ-ixIUNEEpp4F0h2Yg', 'FaPQr7teOGULU2-3Xq3NuMjGZ0ogcK9mYkVsOBLQTdxAU5_SvwoI7MkjYt-fHrDhW2jWG3ZOKxWd8g', '3IH-gCKfm6qbUy1H95e85OAqv0oM3c3eDH-NsDxLznsEJLnxU9wvbC6oS-1gwdjpRogmwRkUN1yulg']",1,Jinx,7,2,4,12253,201,16221,15330,0,77,16,9,7194,26041,7194,True,BOTTOM,0,4,2,0,0,14.647
"['18vuxWf95B6WvRGcY1Di0v2cR6UylwkJ2VRbWj8xz2VkztNSm8o1bLK44a9FwKMaHhwb7tGR0XJhbQ', '5613FiIW0tG2li3QtgtVK9ukN4M9KVUpFMc_QPHbYS0yAI9NTvDpc75CcOoO6qk0f3nJuVGE1dIoqA', 'PTx3nfpHIzcqZktRhaV9m-3Uxwmzrv44s-WJTMOK00SWkjTyj9D2lRwRhcJxdNFTKEnsaGkS9DjGAg', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'saJ3r8UZ66hqkWd42AlilNnBaukZGC07aKVUdYZllYVlpJlDUocBINzxT0kP-XM_ewG53AabSpZg8w', 'KikSPInCGaoA1uISutykjln-Uq3mVWcxBEOO_QHST6njKykUG1E18s5KVGVR8B_00xsbAdggMaXUKw', 'VKpmBrM2vgMm-TZtTk5uhx6vp9u4Gkra4O-uevT8ZXuDoMzjaUvwji-tFCYv5Rf5v8omvB-MLTTVMA', 'P3uHOktR9HT64tM_Hkh8RUR1kMOQbWtOvJYeR1_LwVPQhtFDS_9eeyeHlKEQfYePOuA33_5V4LcyeQ', 'nxbP4999SPEbMJdBCdjxLqL38i6fMwAnObCIZ7bF93nYa5gRNVhPB46J6wTfYi9WmKKkIwIn26LtiQ']",0,Jhin,9,4,5,14744,266,28144,17046,0,146,14,8,1368,3028,1368,False,BOTTOM,0,7,3,0,0,26.762
"['zekXeYgGcgH1VcBbpiDLLflRx4quOpbXFyiRrNaRxgz6-ObYi4Y839aMquBBiEZZ06F-c3TQ7pS6tA', 'AWP0uYtmEpxYj9Upyl7isplZlSg05rr8S33EwLNaQf7XGInPR9FrQtIbusI7CWaLD3VoEMZ43O--rA', '_2x2Od6HYNnYO_JIRT1oq30lnhRxAHgJLXGY680PHp4K8rmHtZtcBUYJU0T22VOEVT2c_j_gRN1y5Q', 'G2SBG1Ha5P1IVEnhd1Tr0GD8Pj41YGKKvXR-3RuHcXkWMGGRwXKoMJkBV41Y-BKZbIq9jVNbC4MG7g', 'e6gR3aKcGDT6MoaI4Jett0L7kxScvYTWkjzDfhNyp3mwYzL0MsLmgBJ_wH30Twq9JLO0u7Sxx9si1w', 'zx4m1kuIdA9fTvLUv5UpSmDcEuMp40wdqkrfyBJtz5QTRy7ApRiAniOb58U5Jd65WxJSo-PkIMrT1Q', '38R_hVRClK2Wh1hiB5N5QXCPZ8OtqG-fezR9fTavektNgmT42Vn3bvddCsWPtf_WIvw711mgY5-feg', '2Yo7oCD8f5rap4tGl9XWCI0_i7Zu4rPEpunPbkPe5q3Ry74nESaQJWxzLzBt3jTr9OpYgzPW2-B9-A', 'JDvyPnPW4bM57_7iLQcZGpl52x3cJiRvVw8Ac1ZPOq_Ij5VAntLAkYxXkImxDziYpPY7mA_4da2BpA', 'PabKsO3XJGhJmDil74zjOBSssGLp5DASLqJVXk3iqj3EaOnGPUtVa4JUbexuwMfob1PU7mQ2Zqk5JA']",0,Jinx,2,8,5,8133,145,11194,16943,0,59,7,5,3094,3094,3094,False,BOTTOM,0,0,1,0,0,27.695
